groupKey	groupType	sequenceCount	sampleAccessions	sampleAliasCores	sampleAliases	runAccessions	associatedOrganisms	enaScientificNames	referenceAccessions	segments	sequenceAccessions
SAMEA120641498	single consensus record	1	SAMEA120641498	m2-iZ7TLc	revseq_sample_m2-iZ7TLc_20251128141151303684	ERR15974073	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ373675
SAMEA120641500	multi-segment genome	8	SAMEA120641500	m2-U2wv8C	revseq_sample_m2-U2wv8C_20251128141211350776	ERR15974077	Influenza A H1N1	Influenza A virus (A/Michigan/45/2015(H1N1))	KU509700.1;KU509701.1;KU509702.1;KU509703.1;KU509704.1;KU509705.1;KU509706.1;KU509707.1	HA;M;NA;NP;NS;PA;PB1;PB2	OZ373400;OZ373401;OZ373402;OZ373403;OZ373404;OZ373405;OZ373406;OZ373407
SAMEA120641501	single consensus record	1	SAMEA120641501	m2-2kH55m	revseq_sample_m2-2kH55m_20251128141231396974	ERR15974078	HMPV	human metapneumovirus	NC_039199	genome	OZ373714
SAMEA120641502	single consensus record	1	SAMEA120641502	m2-MM8MkA	revseq_sample_m2-MM8MkA_20251128141251447296	ERR15974079	HMPV	human metapneumovirus	NC_039199	genome	OZ373470
SAMEA120641503	single consensus record	1	SAMEA120641503	m2-Mp25Fk	revseq_sample_m2-Mp25Fk_20251128141311493728	ERR15974081	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373375
SAMEA120641504	single consensus record	1	SAMEA120641504	m2-PVBn6f	revseq_sample_m2-PVBn6f_20251128141331543738	ERR15974084	HMPV	human metapneumovirus	NC_039199	genome	OZ373333
SAMEA120641507	single consensus record	1	SAMEA120641507	m2-V8dKQC	revseq_sample_m2-V8dKQC_20251128141351591223	ERR15974087	HMPV	human metapneumovirus	NC_039199	genome	OZ373337
SAMEA120641508	single consensus record	1	SAMEA120641508	m2-wF4k2T	revseq_sample_m2-wF4k2T_20251128141411640506	ERR15974088	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ373381
SAMEA120641509	single consensus record	1	SAMEA120641509	m2-BYjiah	revseq_sample_m2-BYjiah_20251128141431689770	ERR15974089	Coronavirus OC43	Human coronavirus OC43	AY391777	genome	OZ373338
SAMEA120641511	single consensus record	1	SAMEA120641511	m2-CgiSAY	revseq_sample_m2-CgiSAY_20251128141451739400	ERR15974090	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ373343
SAMEA120641512	single consensus record	1	SAMEA120641512	m2-ozGf4E	revseq_sample_m2-ozGf4E_20251128141511792263	ERR15974091	HMPV	human metapneumovirus	NC_039199	genome	OZ373679
SAMEA120641513	single consensus record	1	SAMEA120641513	m2-yR5Hef	revseq_sample_m2-yR5Hef_20251128141531847383	ERR15974092	HMPV	human metapneumovirus	NC_039199	genome	OZ373383
SAMEA120641517	single consensus record	1	SAMEA120641517	m2-W4ZnHe	revseq_sample_m2-W4ZnHe_20251128141551904172	ERR15974093	HMPV	human metapneumovirus	NC_039199	genome	OZ373360
SAMEA120641519	single consensus record	1	SAMEA120641519	m2-JqBYLh	revseq_sample_m2-JqBYLh_20251128141611955777	ERR15974095	Human adenovirus B1	Human adenovirus B1	NC_011203	genome	OZ373533
SAMEA120641521	single consensus record	1	SAMEA120641521	m2-Kr6366	revseq_sample_m2-Kr6366_20251128141632008264	ERR15974096	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ373725
SAMEA120641522	single consensus record	1	SAMEA120641522	m2-HsBVJN	revseq_sample_m2-HsBVJN_20251128141652058901	ERR15974097	Coronavirus 229E	Human coronavirus 229E	NC_002645	genome	OZ373519
SAMEA120641523	single consensus record	1	SAMEA120641523	m2-LMD6ho	revseq_sample_m2-LMD6ho_20251128141712106896	ERR15974098	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373525
SAMEA120641538	single consensus record	1	SAMEA120641538	m2-Kyii3a	revseq_sample_m2-Kyii3a_20251128141732166878	ERR15974099	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373673
SAMEA120641542	single consensus record	1	SAMEA120641542	m2-MjqpEV	revseq_sample_m2-MjqpEV_20251128141752225477	ERR15974100	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373672
SAMEA120641544	single consensus record	1	SAMEA120641544	m2-ENT3qs	revseq_sample_m2-ENT3qs_20251128141812290335	ERR15974101	Human adenovirus B1	Human adenovirus B1	NC_011203	genome	OZ373718
SAMEA120641573	single consensus record	1	SAMEA120641573	m2-TUofv5	revseq_sample_m2-TUofv5_20251128141832340820	ERR15974130	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373526
SAMEA120641574	single consensus record	1	SAMEA120641574	m2-Uph9U3	revseq_sample_m2-Uph9U3_20251128141852393484	ERR15974131	Coronavirus NL63	Human coronavirus NL63	NC_005831	genome	OZ373528
SAMEA120641575	single consensus record	1	SAMEA120641575	m2-RgZWrD	revseq_sample_m2-RgZWrD_20251128141912441368	ERR15974132	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373030
SAMEA120641576	single consensus record	1	SAMEA120641576	m2-gxCe5X	revseq_sample_m2-gxCe5X_20251128141932496255	ERR15974133	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373419
SAMEA120641577	single consensus record	1	SAMEA120641577	m2-Kouapg	revseq_sample_m2-Kouapg_20251128141952547023	ERR15974134	Coronavirus OC43	Human coronavirus OC43	AY391777	genome	OZ373527
SAMEA120641578	single consensus record	1	SAMEA120641578	m2-ar4p3m	revseq_sample_m2-ar4p3m_20251128142012595408	ERR15974135	Human adenovirus B1	Human adenovirus B1	NC_011203	genome	OZ373508
SAMEA120641579	single consensus record	1	SAMEA120641579	m2-PQ5aTg	revseq_sample_m2-PQ5aTg_20251128142032645438	ERR15974136	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373450
SAMEA120641580	single consensus record	1	SAMEA120641580	m2-qFQ9kJ	revseq_sample_m2-qFQ9kJ_20251128142052694835	ERR15974137	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ373677
SAMEA120641582	single consensus record	1	SAMEA120641582	m2-BP3DjK	revseq_sample_m2-BP3DjK_20251128142112745514	ERR15974138	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ373516
SAMEA120641583	single consensus record	1	SAMEA120641583	m2-yEmM7C	revseq_sample_m2-yEmM7C_20251128142132807183	ERR15974139	Human adenovirus B1	Human adenovirus B1	NC_011203	genome	OZ373733
SAMEA120641584	single consensus record	1	SAMEA120641584	m2-wgoGjP	revseq_sample_m2-wgoGjP_20251128142152858123	ERR15974140	Human adenovirus B1	Human adenovirus B1	NC_011203	genome	OZ373676
SAMEA120641585	single consensus record	1	SAMEA120641585	m2-EYQGUT	revseq_sample_m2-EYQGUT_20251128142212910590	ERR15974141	Human adenovirus B1	Human adenovirus B1	NC_011203	genome	OZ373581
SAMEA120641586	single consensus record	1	SAMEA120641586	m2-gvJsdn	revseq_sample_m2-gvJsdn_20251128142232959213	ERR15974142	HMPV	human metapneumovirus	NC_039199	genome	OZ373443
SAMEA120641587	single consensus record	1	SAMEA120641587	m2-gEpiDa	revseq_sample_m2-gEpiDa_20251128142253019363	ERR15974143	Human adenovirus B1	Human adenovirus B1	NC_011203	genome	OZ373340
SAMEA120641588	single consensus record	1	SAMEA120641588	m2-xwByzt	revseq_sample_m2-xwByzt_20251128142313078827	ERR15974145	HMPV	human metapneumovirus	NC_039199	genome	OZ373351
SAMEA120641590	single consensus record	1	SAMEA120641590	m2-mzGTDC	revseq_sample_m2-mzGTDC_20251128142333131152	ERR15974146	Human mastadenovirus C	Human mastadenovirus C	NC_001405	genome	OZ373384
SAMEA120641591	single consensus record	1	SAMEA120641591	m2-VnXdYZ	revseq_sample_m2-VnXdYZ_20251128142353183543	ERR15974147	Human mastadenovirus C	Human mastadenovirus C	NC_001405	genome	OZ373339
SAMEA120641593	single consensus record	1	SAMEA120641593	m2-JBeRmh	revseq_sample_m2-JBeRmh_20251128142413238783	ERR15974148	Rhinovirus A89	rhinovirus A89	NC_001617	genome	OZ373364
SAMEA120641594	single consensus record	1	SAMEA120641594	m2-39xr8K	revseq_sample_m2-39xr8K_20251128142433288377	ERR15974149	HMPV	human metapneumovirus	NC_039199	genome	OZ373691
SAMEA120641595	single consensus record	1	SAMEA120641595	m2-jCKGBv	revseq_sample_m2-jCKGBv_20251128142453344859	ERR15974150	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373688
SAMEA120641596	single consensus record	1	SAMEA120641596	m2-MUZ8Cb	revseq_sample_m2-MUZ8Cb_20251128142513396829	ERR15974151	Coronavirus 229E	Human coronavirus 229E	NC_002645	genome	OZ373550
SAMEA120641597	single consensus record	1	SAMEA120641597	m2-NaDTTs	revseq_sample_m2-NaDTTs_20251128142533444442	ERR15974152	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373545
SAMEA120641598	single consensus record	1	SAMEA120641598	m2-ujTsiu	revseq_sample_m2-ujTsiu_20251128142553498310	ERR15974153	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373414
SAMEA120641599	single consensus record	1	SAMEA120641599	m2-ABxNA9	revseq_sample_m2-ABxNA9_20251128142613549896	ERR15974154	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373511
SAMEA120641603	single consensus record	1	SAMEA120641603	m2-aEURHb	revseq_sample_m2-aEURHb_20251128142633597857	ERR15974155	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373540
SAMEA120641604	single consensus record	1	SAMEA120641604	m2-Ho9wQu	revseq_sample_m2-Ho9wQu_20251128142653645601	ERR15974156	HMPV	human metapneumovirus	NC_039199	genome	OZ373706
SAMEA120641606	single consensus record	1	SAMEA120641606	m2-jM3n9w	revseq_sample_m2-jM3n9w_20251128142713694169	ERR15974157	HMPV	human metapneumovirus	NC_039199	genome	OZ373476
SAMEA120641607	single consensus record	1	SAMEA120641607	m2-ToGSRe	revseq_sample_m2-ToGSRe_20251128142733742610	ERR15974158	HMPV	human metapneumovirus	NC_039199	genome	OZ373409
SAMEA120641608	single consensus record	1	SAMEA120641608	m2-3CuPYs	revseq_sample_m2-3CuPYs_20251128142753791901	ERR15974159	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373716
SAMEA120641609	single consensus record	1	SAMEA120641609	m2-amRv2M	revseq_sample_m2-amRv2M_20251128142813844335	ERR15974161	Human adenovirus B1	Human adenovirus B1	NC_011203	genome	OZ373709
SAMEA120641610	single consensus record	1	SAMEA120641610	m2-q8yvBm	revseq_sample_m2-q8yvBm_20251128142833890762	ERR15974162	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373346
SAMEA120641611	single consensus record	1	SAMEA120641611	m2-y58Q75	revseq_sample_m2-y58Q75_20251128142853938324	ERR15974163	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373372
SAMEA120641612	single consensus record	1	SAMEA120641612	m2-weJAnw	revseq_sample_m2-weJAnw_20251128142913986582	ERR15974164	Rhinovirus A89	rhinovirus A89	NC_001617	genome	OZ373698
SAMEA120641613	single consensus record	1	SAMEA120641613	m2-34KSAo	revseq_sample_m2-34KSAo_20251128142934033633	ERR15974168	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373387
SAMEA120641614	single consensus record	1	SAMEA120641614	m2-BvdErP	revseq_sample_m2-BvdErP_20251128142954080986	ERR15974169	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373424
SAMEA120641625	single consensus record	1	SAMEA120641625	m2-GRjNzo	revseq_sample_m2-GRjNzo_20251128143014130165	ERR15974170	Human parechovirus type 1	Human parechovirus type 1 PicoBank/HPeV1/a	FM242866	genome	OZ373362
SAMEA120641626	single consensus record	1	SAMEA120641626	m2-53qCwY	revseq_sample_m2-53qCwY_20251128143034179814	ERR15974171	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373441
SAMEA120641627	single consensus record	1	SAMEA120641627	m2-zhhg9e	revseq_sample_m2-zhhg9e_20251128143054227659	ERR15974172	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373423
SAMEA120641628	single consensus record	1	SAMEA120641628	m2-pCrZWV	revseq_sample_m2-pCrZWV_20251128143114276603	ERR15974174	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373388
SAMEA120641629	single consensus record	1	SAMEA120641629	m2-sSV2Bt	revseq_sample_m2-sSV2Bt_20251128143134326163	ERR15974175	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373538
SAMEA120641630	single consensus record	1	SAMEA120641630	m2-v72khW	revseq_sample_m2-v72khW_20251128143154375422	ERR15974176	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373497
SAMEA120641631	single consensus record	1	SAMEA120641631	m2-ED6Fyo	revseq_sample_m2-ED6Fyo_20251128143214423585	ERR15974177	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373427
SAMEA120641632	single consensus record	1	SAMEA120641632	m2-e3Nkuo	revseq_sample_m2-e3Nkuo_20251128143234470888	ERR15974178	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373347
SAMEA120641633	single consensus record	1	SAMEA120641633	m2-kLPe6f	revseq_sample_m2-kLPe6f_20251128143254520060	ERR15974179	HMPV	human metapneumovirus	NC_039199	genome	OZ373440
SAMEA120641635	single consensus record	1	SAMEA120641635	m2-oD3bo4	revseq_sample_m2-oD3bo4_20251128143314568236	ERR15974181	WU Polyomavirus	WU Polyomavirus	NC_009539	genome	OZ373366
SAMEA120641636	single consensus record	1	SAMEA120641636	m2-X4aXWG	revseq_sample_m2-X4aXWG_20251128143334617727	ERR15974182	HMPV	human metapneumovirus	NC_039199	genome	OZ373678
SAMEA120641638	single consensus record	1	SAMEA120641638	m2-tDuWkr	revseq_sample_m2-tDuWkr_20251128143354668449	ERR15974183	HMPV	human metapneumovirus	NC_039199	genome	OZ373371
SAMEA120641639	single consensus record	1	SAMEA120641639	m2-nHuJXs	revseq_sample_m2-nHuJXs_20251128143414717891	ERR15974184	Coronavirus NL63	Human coronavirus NL63	NC_005831	genome	OZ373342
SAMEA120641682	single consensus record	1	SAMEA120641682	m2-i7rgAJ	revseq_sample_m2-i7rgAJ_20251128143434772950	ERR15974185	Rhinovirus A89	rhinovirus A89	NC_001617	genome	OZ373369
SAMEA120641898	single consensus record	1	SAMEA120641898	m2-TcfHz7	revseq_sample_m2-TcfHz7_20251128143454825411	ERR15974190	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373365
SAMEA120641899	single consensus record	1	SAMEA120641899	m2-h54gk9	revseq_sample_m2-h54gk9_20251128143514873699	ERR15974191	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373468
SAMEA120641900	single consensus record	1	SAMEA120641900	m2-oUUEge	revseq_sample_m2-oUUEge_20251128143534923581	ERR15974192	HMPV	human metapneumovirus	NC_039199	genome	OZ373513
SAMEA120641901	single consensus record	1	SAMEA120641901	m2-2NXwCk	revseq_sample_m2-2NXwCk_20251128143554975846	ERR15974193	HPIV-2	Human orthorubulavirus 2	NC_003443	genome	OZ373469
SAMEA120641903	single consensus record	1	SAMEA120641903	m2-SccDgj	revseq_sample_m2-SccDgj_20251128143615027792	ERR15974194	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373703
SAMEA120641919	single consensus record	1	SAMEA120641919	m2-oDzvGR	revseq_sample_m2-oDzvGR_20251128143635075226	ERR15974210	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373720
SAMEA120641920	single consensus record	1	SAMEA120641920	m2-L3ukKo	revseq_sample_m2-L3ukKo_20251128143655122858	ERR15974211	HPIV-1	Human respirovirus 1	NC_003461	genome	OZ373352
SAMEA120641921	single consensus record	1	SAMEA120641921	m2-9KEquH	revseq_sample_m2-9KEquH_20251128143715171682	ERR15974213	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373670
SAMEA120641922	single consensus record	1	SAMEA120641922	m2-YztDkU	revseq_sample_m2-YztDkU_20251128143735217181	ERR15974214	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373667
SAMEA120641923	single consensus record	1	SAMEA120641923	m2-n4CyR5	revseq_sample_m2-n4CyR5_20251128143755267657	ERR15974215	HMPV	human metapneumovirus	NC_039199	genome	OZ373541
SAMEA120641924	single consensus record	1	SAMEA120641924	m2-3UqUSN	revseq_sample_m2-3UqUSN_20251128143815314784	ERR15974216	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373520
SAMEA120641925	single consensus record	1	SAMEA120641925	m2-n45rMk	revseq_sample_m2-n45rMk_20251128143835361982	ERR15974217	Rhinovirus A89	rhinovirus A89	NC_001617	genome	OZ373522
SAMEA120641926	single consensus record	1	SAMEA120641926	m2-fChozQ	revseq_sample_m2-fChozQ_20251128143855409799	ERR15974218	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373523
SAMEA120641928	single consensus record	1	SAMEA120641928	m2-3Ft7q9	revseq_sample_m2-3Ft7q9_20251128143915460101	ERR15974219	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373104
SAMEA120641929	single consensus record	1	SAMEA120641929	m2-38nVTV	revseq_sample_m2-38nVTV_20251128143935508447	ERR15974220	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373100
SAMEA120641930	single consensus record	1	SAMEA120641930	m2-4kXick	revseq_sample_m2-4kXick_20251128143955558544	ERR15974221	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373354
SAMEA120641931	single consensus record	1	SAMEA120641931	m2-3SXzSV	revseq_sample_m2-3SXzSV_20251128144015605379	ERR15974223	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373637
SAMEA120641932	single consensus record	1	SAMEA120641932	m2-BF2ufp	revseq_sample_m2-BF2ufp_20251128144035652279	ERR15974224	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373370
SAMEA120641933	single consensus record	1	SAMEA120641933	m2-BJn2VZ	revseq_sample_m2-BJn2VZ_20251128144055698970	ERR15974235	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373390
SAMEA120641934	single consensus record	1	SAMEA120641934	m2-bkrZsY	revseq_sample_m2-bkrZsY_20251128144115745224	ERR15974236	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373353
SAMEA120641935	single consensus record	1	SAMEA120641935	m2-cGQaRk	revseq_sample_m2-cGQaRk_20251128144135791828	ERR15974237	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373067
SAMEA120641936	single consensus record	1	SAMEA120641936	m2-3KZQzJ	revseq_sample_m2-3KZQzJ_20251128144155841714	ERR15974238	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373500
SAMEA120641938	single consensus record	1	SAMEA120641938	m2-Mj6hgu	revseq_sample_m2-Mj6hgu_20251128144215888850	ERR15974239	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373168
SAMEA120641939	single consensus record	1	SAMEA120641939	m2-xvyMxE	revseq_sample_m2-xvyMxE_20251128144235940077	ERR15974240	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373503
SAMEA120641940	single consensus record	1	SAMEA120641940	m2-G4bQxE	revseq_sample_m2-G4bQxE_20251128144255990580	ERR15974241	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373495
SAMEA120641941	single consensus record	1	SAMEA120641941	m2-gyQtpZ	revseq_sample_m2-gyQtpZ_20251128144316037913	ERR15974243	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373410
SAMEA120641942	single consensus record	1	SAMEA120641942	m2-mGefQv	revseq_sample_m2-mGefQv_20251128144336085169	ERR15974244	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373666
SAMEA120641943	single consensus record	1	SAMEA120641943	m2-npCqtD	revseq_sample_m2-npCqtD_20251128144356132723	ERR15974245	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373493
SAMEA120642041	single consensus record	1	SAMEA120642041	m2-ozKj7w	revseq_sample_m2-ozKj7w_20251128144416180363	ERR15974246	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373494
SAMEA120642042	single consensus record	1	SAMEA120642042	m2-QGowTB	revseq_sample_m2-QGowTB_20251128144436228106	ERR15974247	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373504
SAMEA120642044	single consensus record	1	SAMEA120642044	m2-QtXNo7	revseq_sample_m2-QtXNo7_20251128144456279694	ERR15974248	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373492
SAMEA120642045	single consensus record	1	SAMEA120642045	m2-TzR6v7	revseq_sample_m2-TzR6v7_20251128144516338402	ERR15974249	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373543
SAMEA120642046	single consensus record	1	SAMEA120642046	m2-uBCY5S	revseq_sample_m2-uBCY5S_20251128144536384657	ERR15974250	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373491
