groupKey	groupType	sequenceCount	sampleAccessions	sampleAliasCores	sampleAliases	runAccessions	associatedOrganisms	enaScientificNames	referenceAccessions	segments	sequenceAccessions
SAMEA120642047	single consensus record	1	SAMEA120642047	m2-y9sf9q	revseq_sample_m2-y9sf9q_20251128144556433120	ERR15974251	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373539
SAMEA120642048	single consensus record	1	SAMEA120642048	m2-yQUmMG	revseq_sample_m2-yQUmMG_20251128144616482255	ERR15974252	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373639
SAMEA120642049	single consensus record	1	SAMEA120642049	m2-YRBBfu	revseq_sample_m2-YRBBfu_20251128144636530097	ERR15974253	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373535
SAMEA120642050	single consensus record	1	SAMEA120642050	m2-ZNzLxp	revseq_sample_m2-ZNzLxp_20251128144656578400	ERR15974255	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373638
SAMEA120642051	single consensus record	1	SAMEA120642051	m2-3qdHwU	revseq_sample_m2-3qdHwU_20251128144716630510	ERR15974256	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373085
SAMEA120642053	single consensus record	1	SAMEA120642053	m2-37cQGL	revseq_sample_m2-37cQGL_20251128144736680628	ERR15974257	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373101
SAMEA120642054	single consensus record	1	SAMEA120642054	m2-7xxDyW	revseq_sample_m2-7xxDyW_20251128144816778811	ERR15974258	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373165
SAMEA120642055	single consensus record	1	SAMEA120642055	m2-QEotEA	revseq_sample_m2-QEotEA_20251128144756731952	ERR15974259	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373074
SAMEA120642056	single consensus record	1	SAMEA120642056	m2-XP6vJf	revseq_sample_m2-XP6vJf_20251128144836826670	ERR15974260	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373106
SAMEA120642057	single consensus record	1	SAMEA120642057	m2-5YkKkJ	revseq_sample_m2-5YkKkJ_20251128144856877397	ERR15974261	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373664
SAMEA120642058	single consensus record	1	SAMEA120642058	m2-V9rHyG	revseq_sample_m2-V9rHyG_20251128144916928239	ERR15974262	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373411
SAMEA120642219	single consensus record	1	SAMEA120642219	m2-9qnCXK	revseq_sample_m2-9qnCXK_20251128144936976149	ERR15974423	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373642
SAMEA120642220	single consensus record	1	SAMEA120642220	m2-eyf48e	revseq_sample_m2-eyf48e_20251128144957027892	ERR15974424	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373547
SAMEA120642221	single consensus record	1	SAMEA120642221	m2-DhoSq8	revseq_sample_m2-DhoSq8_20251128145017075656	ERR15974425	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373065
SAMEA120642222	single consensus record	1	SAMEA120642222	m2-gycK6z	revseq_sample_m2-gycK6z_20251128145037123316	ERR15974426	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373164
SAMEA120642224	single consensus record	1	SAMEA120642224	m2-NdSZao	revseq_sample_m2-NdSZao_20251128145057181125	ERR15974427	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373163
SAMEA120642225	single consensus record	1	SAMEA120642225	m2-s96RDD	revseq_sample_m2-s96RDD_20251128145117228529	ERR15974428	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373471
SAMEA120642226	single consensus record	1	SAMEA120642226	m2-i5wLSU	revseq_sample_m2-i5wLSU_20251128145137274563	ERR15974429	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373480
SAMEA120642227	single consensus record	1	SAMEA120642227	m2-MvvBk9	revseq_sample_m2-MvvBk9_20251128145157324432	ERR15974430	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373289
SAMEA120642228	single consensus record	1	SAMEA120642228	m2-oUT7WT	revseq_sample_m2-oUT7WT_20251128145217374445	ERR15974431	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373069
SAMEA120642229	single consensus record	1	SAMEA120642229	m2-gxDNRv	revseq_sample_m2-gxDNRv_20251128145237422401	ERR15974432	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373072
SAMEA120642230	single consensus record	1	SAMEA120642230	m2-mkGmpe	revseq_sample_m2-mkGmpe_20251128145257489630	ERR15974434	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373294
SAMEA120642231	single consensus record	1	SAMEA120642231	m2-nmHdMk	revseq_sample_m2-nmHdMk_20251128145317540309	ERR15974435	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373082
SAMEA120642232	single consensus record	1	SAMEA120642232	m2-AXsNSL	revseq_sample_m2-AXsNSL_20251128145337589021	ERR15974436	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373292
SAMEA120642234	single consensus record	1	SAMEA120642234	m2-oxY6PQ	revseq_sample_m2-oxY6PQ_20251128145357642098	ERR15974437	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373058
SAMEA120642235	single consensus record	1	SAMEA120642235	m2-pDAji8	revseq_sample_m2-pDAji8_20251128145417691788	ERR15974438	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373356
SAMEA120642236	single consensus record	1	SAMEA120642236	m2-QTwV7a	revseq_sample_m2-QTwV7a_20251128145437740421	ERR15974439	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373296
SAMEA120642237	single consensus record	1	SAMEA120642237	m2-G68KXW	revseq_sample_m2-G68KXW_20251128145457793028	ERR15974440	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373102
SAMEA120642238	single consensus record	1	SAMEA120642238	m2-dC5QX8	revseq_sample_m2-dC5QX8_20251128145517842070	ERR15974441	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373295
SAMEA120642239	single consensus record	1	SAMEA120642239	m2-V87KNw	revseq_sample_m2-V87KNw_20251128145537888577	ERR15974442	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373089
SAMEA120642240	single consensus record	1	SAMEA120642240	m2-VduGeq	revseq_sample_m2-VduGeq_20251128145557935680	ERR15974443	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373640
SAMEA120642241	single consensus record	1	SAMEA120642241	m2-wM9MFc	revseq_sample_m2-wM9MFc_20251128145617983479	ERR15974445	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373378
SAMEA120642242	single consensus record	1	SAMEA120642242	m2-fngLcf	revseq_sample_m2-fngLcf_20251128145638033181	ERR15974446	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373641
SAMEA120642243	single consensus record	1	SAMEA120642243	m2-3G3Doj	revseq_sample_m2-3G3Doj_20251128145658080335	ERR15974447	WU Polyomavirus	WU Polyomavirus	NC_009539	genome	OZ373722
SAMEA120642245	single consensus record	1	SAMEA120642245	m2-5at3hA	revseq_sample_m2-5at3hA_20251128145718127035	ERR15974448	RSV-B	Human Respiratory syncytial virus 9320	AY353550	genome	OZ373509
SAMEA120642246	single consensus record	1	SAMEA120642246	m2-48cAtM	revseq_sample_m2-48cAtM_20251128145738173736	ERR15974449	Bocaparvovirus primate1	Bocaparvovirus primate1	NC_007455	genome	OZ373690
SAMEA120642247	single consensus record	1	SAMEA120642247	m2-mVqwfv	revseq_sample_m2-mVqwfv_20251128145758222318	ERR15974450	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373728
SAMEA120642248	single consensus record	1	SAMEA120642248	m2-UZk6rp	revseq_sample_m2-UZk6rp_20251128145818268907	ERR15974452	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373376
SAMEA120642249	single consensus record	1	SAMEA120642249	m2-zGrf4n	revseq_sample_m2-zGrf4n_20251128145838314755	ERR15974453	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ373345
SAMEA120642250	single consensus record	1	SAMEA120642250	m2-QRRsiL	revseq_sample_m2-QRRsiL_20251128145858363271	ERR15974454	Coronavirus OC43	Human coronavirus OC43	AY391777	genome	OZ373689
SAMEA120642251	single consensus record	1	SAMEA120642251	m2-tUrV5z	revseq_sample_m2-tUrV5z_20251128145918411976	ERR15974455	RSV-B	Human Respiratory syncytial virus 9320	AY353550	genome	OZ373518
SAMEA120642252	single consensus record	1	SAMEA120642252	m2-v3KDUF	revseq_sample_m2-v3KDUF_20251128145938461470	ERR15974456	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ373674
SAMEA120642253	single consensus record	1	SAMEA120642253	m2-xPAa2d	revseq_sample_m2-xPAa2d_20251128145958509001	ERR15974457	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ373729
SAMEA120642255	single consensus record	1	SAMEA120642255	m2-4SRYNi	revseq_sample_m2-4SRYNi_20251128150018556427	ERR15974459	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ373515
SAMEA120642256	single consensus record	1	SAMEA120642256	m2-T5VXtD	revseq_sample_m2-T5VXtD_20251128150038607922	ERR15974460	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ373512
SAMEA120642257	single consensus record	1	SAMEA120642257	m2-3Vw5ij	revseq_sample_m2-3Vw5ij_20251128150058656934	ERR15974461	RSV-B	Human Respiratory syncytial virus 9320	AY353550	genome	OZ373382
SAMEA120642258	single consensus record	1	SAMEA120642258	m2-VAEUJ5	revseq_sample_m2-VAEUJ5_20251128150118718209	ERR15974462	Rhinovirus A89	rhinovirus A89	NC_001617	genome	OZ373727
SAMEA120642259	single consensus record	1	SAMEA120642259	m2-BdNxPR	revseq_sample_m2-BdNxPR_20251128150138770305	ERR15974463	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373730
SAMEA120642260	single consensus record	1	SAMEA120642260	m2-3eGjGj	revseq_sample_m2-3eGjGj_20251128150158817444	ERR15974464	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ373482
SAMEA120642262	single consensus record	1	SAMEA120642262	m2-Ki8Aa3	revseq_sample_m2-Ki8Aa3_20251128150218865345	ERR15974465	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ373708
SAMEA120642263	single consensus record	1	SAMEA120642263	m2-cWAMxe	revseq_sample_m2-cWAMxe_20251128150238914393	ERR15974466	Coronavirus OC43	Human coronavirus OC43	AY391777	genome	OZ373431
SAMEA120642265	single consensus record	1	SAMEA120642265	m2-gJTbaX	revseq_sample_m2-gJTbaX_20251128150258960859	ERR15974467	Human adenovirus B1	Human adenovirus B1	NC_011203	genome	OZ373344
SAMEA120642266	single consensus record	1	SAMEA120642266	m2-P9mWJr	revseq_sample_m2-P9mWJr_20251128150319011499	ERR15974468	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373448
SAMEA120642267	single consensus record	1	SAMEA120642267	m2-AqTpPL	revseq_sample_m2-AqTpPL_20251128150339059436	ERR15974469	Coronavirus 229E	Human coronavirus 229E	NC_002645	genome	OZ373357
SAMEA120642268	single consensus record	1	SAMEA120642268	m2-KaJ5Pe	revseq_sample_m2-KaJ5Pe_20251128150359109038	ERR15974470	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373521
SAMEA120642269	single consensus record	1	SAMEA120642269	m2-q4bsMd	revseq_sample_m2-q4bsMd_20251128150419167212	ERR15974472	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373109
SAMEA120642271	single consensus record	1	SAMEA120642271	m2-F34WtX	revseq_sample_m2-F34WtX_20251128150439226497	ERR15974473	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373465
SAMEA120642272	single consensus record	1	SAMEA120642272	m2-cyCNuA	revseq_sample_m2-cyCNuA_20251128150459275163	ERR15974474	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373040
SAMEA120642273	single consensus record	1	SAMEA120642273	m2-HkLtpW	revseq_sample_m2-HkLtpW_20251128150519325546	ERR15974475	HMPV	human metapneumovirus	NC_039199	genome	OZ373341
SAMEA120642274	single consensus record	1	SAMEA120642274	m2-k9vgiw	revseq_sample_m2-k9vgiw_20251128150539376057	ERR15974476	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ373418
SAMEA120642276	single consensus record	1	SAMEA120642276	m2-FAvEvi	revseq_sample_m2-FAvEvi_20251128150559424835	ERR15974477	Coronavirus HKU1	Human coronavirus HKU1	NC_006577	genome	OZ373380
SAMEA120642277	single consensus record	1	SAMEA120642277	m2-GmB4Bf	revseq_sample_m2-GmB4Bf_20251128150619472554	ERR15974478	Enterovirus C109	Enterovirus C109	GQ865517	genome	OZ373524
SAMEA120642278	single consensus record	1	SAMEA120642278	m2-yebiMQ	revseq_sample_m2-yebiMQ_20251128150639521558	ERR15974479	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ373707
SAMEA120642279	single consensus record	1	SAMEA120642279	m2-GbMzJy	revseq_sample_m2-GbMzJy_20251128150659570312	ERR15974481	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ373432
SAMEA120642280	single consensus record	1	SAMEA120642280	m2-Qf8cLC	revseq_sample_m2-Qf8cLC_20251128150719619427	ERR15974482	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ373439
SAMEA120642281	single consensus record	1	SAMEA120642281	m2-zhrVRY	revseq_sample_m2-zhrVRY_20251128150739666319	ERR15974483	Coronavirus HKU1	Human coronavirus HKU1	NC_006577	genome	OZ373702
SAMEA120642282	single consensus record	1	SAMEA120642282	m2-pzbDPq	revseq_sample_m2-pzbDPq_20251128150759714036	ERR15974484	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ373506
SAMEA120642283	single consensus record	1	SAMEA120642283	m2-afGSAT	revseq_sample_m2-afGSAT_20251128150819762930	ERR15974485	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ373697
SAMEA120642284	single consensus record	1	SAMEA120642284	m2-LTGmFn	revseq_sample_m2-LTGmFn_20251128150839809981	ERR15974486	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373437
SAMEA120642286	single consensus record	1	SAMEA120642286	m2-STGkhE	revseq_sample_m2-STGkhE_20251128150859857057	ERR15974487	HMPV	human metapneumovirus	NC_039199	genome	OZ373499
SAMEA120642287	single consensus record	1	SAMEA120642287	m2-Yg94Uo	revseq_sample_m2-Yg94Uo_20251128150919905385	ERR15974488	Human adenovirus B1	Human adenovirus B1	NC_011203	genome	OZ373505
SAMEA120642288	single consensus record	1	SAMEA120642288	m2-WpJqxj	revseq_sample_m2-WpJqxj_20251128150939952512	ERR15974489	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373514
SAMEA120642289	single consensus record	1	SAMEA120642289	m2-KvvZnz	revseq_sample_m2-KvvZnz_20251128150959999918	ERR15974490	Human adenovirus B1	Human adenovirus B1	NC_011203	genome	OZ373517
SAMEA120642290	single consensus record	1	SAMEA120642290	m2-HUBpy4	revseq_sample_m2-HUBpy4_20251128151020052247	ERR15974491	Coronavirus NL63	Human coronavirus NL63	NC_005831	genome	OZ373502
SAMEA120642291	single consensus record	1	SAMEA120642291	m2-CcozBt	revseq_sample_m2-CcozBt_20251128151040100202	ERR15974492	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373167
SAMEA120642292	single consensus record	1	SAMEA120642292	m2-PVnipc	revseq_sample_m2-PVnipc_20251128151100146600	ERR15974494	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373049
SAMEA120642293	single consensus record	1	SAMEA120642293	m2-5xXjjp	revseq_sample_m2-5xXjjp_20251128151120194654	ERR15974495	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373361
SAMEA120642294	single consensus record	1	SAMEA120642294	m2-DxMevL	revseq_sample_m2-DxMevL_20251128151140241206	ERR15974496	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373130
SAMEA120642308	single consensus record	1	SAMEA120642308	m2-4H6FKQ	revseq_sample_m2-4H6FKQ_20251128151200288289	ERR15974521	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	MN908947.3	genome	OZ373128
SAMEA120841686	single consensus record	1	SAMEA120841686	m2-Dq37e8	revseq_sample_m2-Dq37e8_20251219103917893479	ERR16047132	HPIV-1	Human respirovirus 1	NC_003461	genome	OZ470121
SAMEA120841687	single consensus record	1	SAMEA120841687	m2-GRjNzo	revseq_sample_m2-GRjNzo_20251219103917846101	ERR16047133	Human parechovirus type 1	Human parechovirus type 1 PicoBank/HPeV1/a	FM242866	genome	OZ470147
SAMEA120841689	single consensus record	1	SAMEA120841689	m2-Y4rZ7q	revseq_sample_m2-Y4rZ7q_20251219103917353824	ERR16047136	Coronavirus OC43	Human respirovirus 3	AY391777	genome	OZ470134
SAMEA120841690	single consensus record	1	SAMEA120841690	m2-EJ7fEz	revseq_sample_m2-EJ7fEz_20251219103917307554	ERR16047137	Coronavirus OC43	Human coronavirus OC43	AY391777	genome	OZ470125
SAMEA120841691	single consensus record	1	SAMEA120841691	m2-w9v3Qv	revseq_sample_m2-w9v3Qv_20251219103917258563	ERR16047139	WU Polyomavirus	WU Polyomavirus	NC_009539	genome	OZ470137
SAMEA120841692	single consensus record	1	SAMEA120841692	m2-zwqknf	revseq_sample_m2-zwqknf_20251219103917208749	ERR16047140	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ470151
SAMEA120841693	single consensus record	1	SAMEA120841693	m2-43Vmvj	revseq_sample_m2-43Vmvj_20251219103917162544	ERR16047142	RSV-B	Human Respiratory syncytial virus 9320	AY353550	genome	OZ470155
SAMEA120841694	single consensus record	1	SAMEA120841694	m2-3oZJ5x	revseq_sample_m2-3oZJ5x_20251219103917117074	ERR16047144	Bocaparvovirus primate1	Bocaparvovirus primate1	NC_007455	genome	OZ470146
SAMEA120841695	single consensus record	1	SAMEA120841695	m2-u89dBs	revseq_sample_m2-u89dBs_20251219103917070079	ERR16047147	Human mastadenovirus C	Human mastadenovirus C	NC_001405	genome	OZ470132
SAMEA120841696	single consensus record	1	SAMEA120841696	m2-gnDemF	revseq_sample_m2-gnDemF_20251219103917020095	ERR16047148	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ470153
SAMEA120841697	single consensus record	1	SAMEA120841697	m2-HXHQAT	revseq_sample_m2-HXHQAT_20251219103916966071	ERR16047150	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ470143
SAMEA120841698	single consensus record	1	SAMEA120841698	m2-NmHGDa	revseq_sample_m2-NmHGDa_20251219103916912233	ERR16047151	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ470139
SAMEA120842006	single consensus record	1	SAMEA120842006	m2-NDEjHn	revseq_sample_m2-NDEjHn_20251219120839157030	ERR16048081	Human mastadenovirus C	Human mastadenovirus C	NC_001405	genome	OZ470131
SAMEA120842007	single consensus record	1	SAMEA120842007	m2-wfEdma	revseq_sample_m2-wfEdma_20251219120839112771	ERR16048083	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ470127
SAMEA120842008	single consensus record	1	SAMEA120842008	m2-mzMRtV	revseq_sample_m2-mzMRtV_20251219120839068815	ERR16048084	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ470128
SAMEA122376974	single consensus record	1	SAMEA122376974	m2-XHdiUs	revseq_sample_m2-XHdiUs_20260504172518223986	ERR17174041	Coronavirus OC43	Human coronavirus OC43	AY391777	genome	OZ470120
