insdcAccessionBase	geoLocCountry_main	geoLocAdmin1_main	geoLocAdmin2_main	geoLocCountry_use-pycountry	geoLocAdmin1_use-pycountry	geoLocAdmin2_use-pycountry	geoLocCountry_auspice-curate	geoLocAdmin1_auspice-curate	geoLocAdmin2_auspice-curate
FJ375291	Australia	Mt Isa		Australia		Mt Isa	Australia	Mt Isa	
FJ375284	Australia	Leeton-Mountford Park, NSW		Australia	New South Wales	Leeton-Mountford Park	Australia	Leeton-Mountford Park	NSW
FJ375269	Australia	Mt Isa		Australia		Mt Isa	Australia	Mt Isa	
FJ375283	Australia	Leeton-Mountford Park, NSW		Australia	New South Wales	Leeton-Mountford Park	Australia	Leeton-Mountford Park	NSW
FJ375270	Australia	Mt Isa		Australia		Mt Isa	Australia	Mt Isa	
JX123031	Australia			Australia			Australia		
FJ375295	Australia	Normanton QLD Gulf		Australia	Queensland	Normanton Gulf	Australia	Normanton QLD Gulf	
FJ375281	Australia	Griffith-Willbriggie, NSW		Australia	New South Wales	Griffith-Willbriggie	Australia	Griffith-Willbriggie	NSW
KT934796	Australia	Victoria		Australia	Victoria		Australia	Victoria	
JX123030	Australia			Australia			Australia		
FJ375264	Australia	Wentworth, NSW		Australia	New South Wales	Wentworth	Australia	Wentworth	NSW
