insdcAccessionBase	geoLocCountry_main	geoLocAdmin1_main	geoLocAdmin2_main	geoLocCountry_use-pycountry	geoLocAdmin1_use-pycountry	geoLocAdmin2_use-pycountry	geoLocCountry_auspice-curate	geoLocAdmin1_auspice-curate	geoLocAdmin2_auspice-curate
KU296565	Sierra Leone			Sierra Leone			Sierra Leone		
KU296483	Sierra Leone			Sierra Leone			Sierra Leone		
KU296415	Sierra Leone			Sierra Leone			Sierra Leone		
MF599507	Sierra Leone			Sierra Leone			Sierra Leone		
KP759662	Sierra Leone	western urban		Sierra Leone		western urban	Sierra Leone	western urban	
MF599521	Sierra Leone			Sierra Leone			Sierra Leone		
MF599520	Sierra Leone			Sierra Leone			Sierra Leone		
KU296764	Sierra Leone			Sierra Leone			Sierra Leone		
KU296817	Sierra Leone			Sierra Leone			Sierra Leone		
KP759595	Sierra Leone	western urban		Sierra Leone		western urban	Sierra Leone	western urban	
KU296653	Sierra Leone			Sierra Leone			Sierra Leone		
KU296692	Sierra Leone			Sierra Leone			Sierra Leone		
KU296612	Sierra Leone			Sierra Leone			Sierra Leone		
KU296591	Sierra Leone			Sierra Leone			Sierra Leone		
KU296535	Sierra Leone			Sierra Leone			Sierra Leone		
KU296396	Sierra Leone			Sierra Leone			Sierra Leone		
KP759664	Sierra Leone	western rural		Sierra Leone		western rural	Sierra Leone	western rural	
KU296638	Sierra Leone			Sierra Leone			Sierra Leone		
KU296521	Sierra Leone			Sierra Leone			Sierra Leone		
KU296421	Sierra Leone			Sierra Leone			Sierra Leone		
MF599519	Sierra Leone			Sierra Leone			Sierra Leone		
KU296489	Sierra Leone			Sierra Leone			Sierra Leone		
KU296449	Sierra Leone			Sierra Leone			Sierra Leone		
KU296439	Sierra Leone			Sierra Leone			Sierra Leone		
KR653282	Sierra Leone	Bombali		Sierra Leone		Bombali	Sierra Leone	Bombali	
KP759768	Sierra Leone	western urban		Sierra Leone		western urban	Sierra Leone	western urban	
KU296532	Sierra Leone			Sierra Leone			Sierra Leone		
KU296308	Sierra Leone			Sierra Leone			Sierra Leone		
KU296651	Sierra Leone			Sierra Leone			Sierra Leone		
MF599509	Sierra Leone			Sierra Leone			Sierra Leone		
KU296743	Sierra Leone			Sierra Leone			Sierra Leone		
KU296614	Sierra Leone			Sierra Leone			Sierra Leone		
KP759597	Sierra Leone	Port Loko		Sierra Leone		Port Loko	Sierra Leone	Port Loko	
KU296559	Sierra Leone			Sierra Leone			Sierra Leone		
KP759656	Sierra Leone	Port Loko		Sierra Leone		Port Loko	Sierra Leone	Port Loko	
MF599508	Sierra Leone			Sierra Leone			Sierra Leone		
KU296550	Sierra Leone			Sierra Leone			Sierra Leone		
KU296520	Sierra Leone			Sierra Leone			Sierra Leone		
KU296844	Sierra Leone			Sierra Leone			Sierra Leone		
KU296795	Sierra Leone			Sierra Leone			Sierra Leone		
KU296768	Sierra Leone			Sierra Leone			Sierra Leone		
KP759658	Sierra Leone	Port Loko		Sierra Leone		Port Loko	Sierra Leone	Port Loko	
KP759669	Sierra Leone	western urban		Sierra Leone		western urban	Sierra Leone	western urban	
KU296468	Sierra Leone			Sierra Leone			Sierra Leone		
KP759671	Sierra Leone	western urban		Sierra Leone		western urban	Sierra Leone	western urban	
KP759765	Sierra Leone	Port Loko		Sierra Leone		Port Loko	Sierra Leone	Port Loko	
KY366416	Sierra Leone			Sierra Leone			Sierra Leone		
KU296699	Sierra Leone			Sierra Leone			Sierra Leone		
KT357824	Sierra Leone	Western Urban		Sierra Leone		Western Urban	Sierra Leone	Western Urban	
MF599522	Sierra Leone			Sierra Leone			Sierra Leone		
KP759766	Sierra Leone	Port Loko		Sierra Leone		Port Loko	Sierra Leone	Port Loko	
KU296784	Sierra Leone			Sierra Leone			Sierra Leone		
KU296490	Sierra Leone			Sierra Leone			Sierra Leone		
KT357823	Sierra Leone	Western Urban		Sierra Leone		Western Urban	Sierra Leone	Western Urban	
KU296498	Sierra Leone			Sierra Leone			Sierra Leone		
KU296574	Sierra Leone			Sierra Leone			Sierra Leone		
KU296740	Sierra Leone			Sierra Leone			Sierra Leone		
KR653268	Sierra Leone	Koinodugu		Sierra Leone		Koinodugu	Sierra Leone	Koinodugu	
MH607981	Sierra Leone			Sierra Leone			Sierra Leone		
KP759705	Sierra Leone	western area		Sierra Leone	Western Area (Freetown)		Sierra Leone	western area	
KP759743	Sierra Leone	western rural		Sierra Leone		western rural	Sierra Leone	western rural	
KP759744	Sierra Leone	western rural		Sierra Leone		western rural	Sierra Leone	western rural	
KY401656	Sierra Leone			Sierra Leone			Sierra Leone		
KU296555	Sierra Leone			Sierra Leone			Sierra Leone		
KT357860	Sierra Leone	Western Urban		Sierra Leone		Western Urban	Sierra Leone	Western Urban	
KP759745	Sierra Leone	western rural		Sierra Leone		western rural	Sierra Leone	western rural	
KU296325	Sierra Leone			Sierra Leone			Sierra Leone		
KU296843	Sierra Leone			Sierra Leone			Sierra Leone		
KU296822	Sierra Leone			Sierra Leone			Sierra Leone		
KP759746	Sierra Leone	western urban		Sierra Leone		western urban	Sierra Leone	western urban	
KY401652	Sierra Leone			Sierra Leone			Sierra Leone		
KY401642	Sierra Leone			Sierra Leone			Sierra Leone		
KU296440	Sierra Leone			Sierra Leone			Sierra Leone		
KU296430	Sierra Leone			Sierra Leone			Sierra Leone		
KP759749	Sierra Leone	Port Loko		Sierra Leone		Port Loko	Sierra Leone	Port Loko	
